svlId,svlRecId,channelId,brdcstType,nwMask,optionMask,serviceType,channelNumber,serviceName,frequency,brdcstMedium,favorites1Index,favorites2Index,favorites3Index,favorites4Index,tslId,tslRecId,nwlId,nwlRecId,satlId,satlRecId,shortName,bandWidth,nwId,onId,tsId,progId,symRate,mod,pol,satRecId,nwName,barkerMask,sdtServiceType,hbbtvStatus,svcProName,mfType,categoryMask
3,306,139198593,2,1057295,8704,1,531,WATAN TV,12729,3,0,0,0,0,3,323,0,0,3,7,,0,1070,1070,30401,51650,30000,2,2,7,TURKSAT,0,1,0,,0,0
3,310,140509313,2,1059343,8704,1,536,YABAN TV HD,11855,3,0,0,0,0,3,325,0,0,3,7,,0,42,42,43305,16900,30005,2,2,7,,0,17,0,,0,0
3,311,140771457,2,1057295,512,1,537,YENï¿½ï¿½ KOCAELï,12246,3,0,0,0,0,3,297,3,1,3,7,,0,66,66,7,1719,27500,2,1,7,DEMIROREN MEDYA,1,25,0,,0,0
3,312,141033601,2,1057295,512,1,538,YILDIZ EN,12345,3,0,0,0,0,3,333,3,2,3,7,,0,1070,1070,41901,50709,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,314,141557889,2,1057295,512,1,540,ZAROK TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50804,30005,2,2,7,TURKSAT,0,1,0,,0,0
3,331,146014337,2,1057295,512,1,557,NOW HD,12329,3,0,0,0,0,3,299,3,22,3,7,,0,1070,1070,42002,12700,6666,2,1,7,TWDC,0,1,0,,0,0
3,333,146538625,2,1057295,512,1,559,BRTV ANADOLU,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14615,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,335,147062913,2,1057295,512,1,561,GRT,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14607,27500,2,2,7,GUC TELEKOM,0,25,0,,0,0
3,336,147325057,2,1057295,512,1,562,MALATYA VUSLAT TV,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14636,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,337,147587201,2,1057295,512,1,563,MERCAN TV,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14613,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,339,148111489,2,1057295,512,1,565,TRAKYA TURK,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14638,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,341,148635777,2,1057295,512,1,567,TV A,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14641,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,343,149160065,2,1057295,512,1,569,ýýKRA  TV,12265,3,0,0,0,0,3,313,3,18,3,7,,0,1070,1070,41501,14640,27500,2,2,7,GUC TELEKOM,0,1,0,,0,0
3,359,153354369,2,1057295,512,1,585,TRT MUZIK HD,11054,3,0,0,0,0,3,294,3,7,3,7,,0,1070,1070,31001,10608,30005,2,2,7,TRT,0,25,0,,0,0
3,362,154140801,2,1057295,512,1,588,DRT DENIZLI TV,12729,3,0,0,0,0,3,323,3,2,3,7,,0,1070,1070,30401,51631,30000,2,2,7,TURKSAT,0,1,0,,0,0
3,365,154927233,2,1057295,512,1,591,NR1 TURK TV,12729,3,0,0,0,0,3,323,3,2,3,7,,0,1070,1070,30401,51629,30000,2,2,7,TURKSAT,0,1,0,,0,0
3,380,158859393,2,1057295,512,1,606,PERSIANA TURKIYE,11012,3,0,0,0,0,3,327,3,2,3,7,,0,1070,1070,32107,52304,30005,2,1,7,TURKSAT,0,1,0,,0,0
3,381,159121537,2,1057295,512,1,607,SAUDI SUNNAH,11012,3,0,0,0,0,3,327,3,2,3,7,,0,1070,1070,32107,52340,30005,2,1,7,TURKSAT,0,1,0,,0,0
3,384,159907969,2,1057295,512,1,610,DOST TV,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50822,30005,2,2,7,TURKSAT,0,1,0,,0,0
